STN,LON,LAT,HT
926,128.46182,35.11489,25.58
927,128.88085,35.5842,125.53
928,129.17313,35.41623,99.97
929,128.25857,35.09888,74.14
930,128.22505,34.84355,15.17
931,128.27351,34.6223,76.04
932,127.74546,35.07206,21.57
933,127.83238,34.99676,32.22
934,127.9284,35.2217,132.0
935,128.34113,35.5698,22.15
936,128.20227,35.33264,61.9
937,129.16068,35.17721,81.87
938,129.0192,35.1589,114.0
939,129.0846,35.2323,71.08
940,129.08301,35.20838,18.89
941,128.99808,35.20402,34.54
942,129.10445,35.13501,14.86
943,129.35187,35.50761,12.4
944,128.56897,35.38702,23.48
945,127.99,35.5345,226.87
946,127.81826,35.78,324.25
947,128.5908,34.72193,30.51
948,127.83188,35.29841,134.47
949,129.4412,35.6375,8.0
950,128.98393,35.09004,127.0
951,126.90733,35.50866,107.77
953,128.6796,34.9985,33.0
954,129.3601,35.431,59.44
968,129.045,35.081,78.58
597,128.44108,37.54548,561.85
433,126.7636,37.50059,15.67
669,126.07582,36.22918,20.89
969,129.127,35.091,37.72
474,127.2755,38.08909,142.87
443,127.29194444,37.01972222,90.0
887,127.2912,36.5033,28.0
888,127.49074,36.46267,96.8
889,126.97652,37.50036,16.23
966,126.3856,37.1161,38.0
967,126.6128,37.1189,70.0
366,127.00756,37.39397,115.46
970,127.25024,38.2016,179.45
141,128.6522,35.8782,49.0
683,127.4401,36.7232,66.0
684,127.7763,37.95461,140.27
686,128.1547,35.2439,22.0
685,126.4893,33.2613,143.0
176,128.6522,35.8782,49.0
884,126.5176,33.25927,173.45
268,126.25846,34.47296,9.82
308,126.07303,34.68703,8.23
688,126.939,35.269,31.3
233,127.2927,36.7624,81.0
860,128.61903,35.88515,58.81
864,127.15496,35.8215,53.4
904,128.9675,35.137,4.28
177,126.68772,36.65759,27.74
861,126.77811,33.56233,34.0
862,126.7692278,33.52806944,110.5
863,126.4316472,33.47688333,86.2
865,126.51909722,33.46269444,210.0
866,126.5977722,33.43020278,618.3
867,126.5304889,33.37691111,1528.0
868,126.4980111,33.37598889,1434.0
869,126.4964,33.34832,1260.2
880,126.32372,33.33281,319.78
883,126.35989,33.36233,435.0
890,126.63584,33.3145,302.0
891,126.4223444,33.29127778,425.0
676,127.4297,36.9906,161.0
93,127.75443,37.94738,95.78
494,127.24028,36.53083,106.02
128,127.5,36.71666667,58.0
139,129.4167,35.9833,21.0
142,128.66111111,35.89083333,35.4
153,128.93444444,35.16916667,4.0
158,126.81166666,35.125,12.8
161,128.06666666,35.08333333,8.0
974,128.1547,35.2439,22.0
978,127.77626,37.95461,140.37
977,127.4428,36.63633,56.36
980,126.48917,33.25992,135.0
426,124.63047,37.9661,146.0
689,126.898517,35.100806,75.1
493,127.00398,36.72266,53.64
678,128.77858611,37.72483056,458.0
679,128.7726,37.61099722,698.0
972,128.6834,36.54983,88.62
973,126.949584,35.023294,39.8
234,127.235,36.48639,94.0
687,127.2528,35.1262,62.2
239,127.24438,36.48522,89.5
892,126.85127,33.45011,102.47
964,126.81564,34.45898,48.8
893,126.3272222,33.46583333,25.3
427,126.67343,37.64279,10.54
428,127.21278,37.55124,23.73
898,129.386,35.50482,1.57
899,128.5821,35.223617,24.0
965,126.533,33.35236111,1576.0
309,126.6866,37.9464,25.0
296,128.96024,35.21778,3.0
677,129.02129,37.51728,120.0
350,128.49556,37.99534,607.0
989,126.32988,33.25786,90.0
376,126.85895,37.44738,68.57
230,126.10297,37.2645,12.0
379,127.5463,35.54046,292.0
990,126.2305,33.31822,77.67
991,128.44562,35.80279,27.5
992,128.4464,35.9062,35.5
349,127.84308,37.59997,275.0
377,126.89194,37.39523,28.0
