지점,지점명,LON,LAT,FFMC_top10fwi_mean,DMC_top10fwi_mean,DC_top10fwi_mean,ISI_top10fwi_mean,BUI_top10fwi_mean,fwi_top10per_mean
696,신기,129.0861,37.3466,87.94196179985852,38.65096576740578,171.36455218862173,5.570736950560364,46.567960655045034,12.915624972090583
873,원주백운산,127.97023,37.2557,86.74208538966641,34.80139688317201,147.5760394978917,6.014977399045517,42.51401913811463,13.062055045647604
874,동송,127.2053,38.221,85.80913641145327,28.056087563908196,129.4337330467024,3.052182522643332,34.960032556479455,6.79782207909603
875,설악산,128.46057,38.12106,84.14901566914851,10.357994028905917,55.97874194980348,13.047207058473411,13.667690934232294,10.968589145127494
876,삼척,129.16214,37.45003,87.8338915584563,43.547581632134765,179.32805519260825,4.899620808283895,51.80382940616271,12.561099626788355
877,문막,127.8048,37.3134,87.62251110208899,39.40556487632897,165.2706821610463,4.460475819683179,47.91880976067308,11.488137484498136
878,도계,129.09608,37.22379,86.6177162143022,30.709153931323822,125.66808780498664,3.844080414213353,36.66256602552657,8.40066870071115
879,스키점프,128.6794,37.661,85.31948068785482,24.45220160527856,102.81750830043374,4.994192098197543,29.24581139945686,8.4705023108964
970,철원장흥,127.25024,38.2016,85.5171520699808,29.443985254400737,133.16805670576628,3.1743888468336787,36.39068224474453,7.066877192526974
978,춘천신북,127.77626,37.95461,86.14227955059441,30.087943817302012,126.80653485255036,3.466871876792034,36.764071549593744,7.932472054045203
